question,protocol,in_scope,top_AC,in_scope_AC_share
Q3.1,GR,C1,C1=0.253; C27=0.093; C3=0.050,0.2531
Q3.1,Non-GR,C1,C1=0.276; C7=0.060; C6=0.052,0.2756
Q3.2,GR,C2,C2=0.472; C28=0.204; C7=0.073,0.4718
Q3.2,Non-GR,C2,C2=0.239; C7=0.051; C1=0.041,0.2389
Q3.3,GR,C27;C3,C3=0.494; C27=0.469; C28=0.026,0.9636
Q3.3,Non-GR,C27;C3,C3=0.298; C27=0.291; C4=0.039,0.5896
Q3.4,GR,C27;C4,C4=0.364; C27=0.213; C10=0.056,0.5777
Q3.4,Non-GR,C27;C4,C4=0.287; C27=0.204; C7=0.063,0.4911
Q3.5,GR,C27;C5;C6;C7,C6=0.243; C27=0.237; C7=0.217,0.8998
Q3.5,Non-GR,C27;C5;C6;C7,C7=0.236; C5=0.233; C6=0.221,0.8929
Q3.6,GR,C10;C8;C9,C10=0.312; C9=0.281; C24=0.266,0.7197
Q3.6,Non-GR,C10;C8;C9,C10=0.218; C9=0.210; C8=0.138,0.5659
Q3.7,GR,C11;C12,C11=0.492; C12=0.492; C4=0.014,0.9835
Q3.7,Non-GR,C11;C12,C11=0.231; C12=0.211; C7=0.018,0.4419
Q3.8,GR,C13;C14;C15,C13=0.252; C14=0.185; C15=0.143,0.58
Q3.8,Non-GR,C13;C14;C15,C13=0.251; C14=0.247; C15=0.168,0.6661
Q4.1,GR,C16;C27,C16=0.434; C17=0.276; C27=0.202,0.6358
Q4.1,Non-GR,C16;C27,C16=0.300; C27=0.243; C17=0.059,0.5432
Q4.2,GR,C17;C18,C17=0.423; C18=0.415; C19=0.052,0.8384
Q4.2,Non-GR,C17;C18,C17=0.307; C18=0.196; C19=0.082,0.5031
Q4.3,GR,C19;C27,C19=0.473; C27=0.464; C5=0.034,0.937
Q4.3,Non-GR,C19;C27,C19=0.305; C27=0.288; C1=0.024,0.5927
Q5.1,GR,C20;C21;C26;C27,C20=0.288; C21=0.281; C26=0.238,0.981
Q5.1,Non-GR,C20;C21;C26;C27,C20=0.225; C27=0.198; C21=0.194,0.7581
Q5.2,GR,C22,C22=0.378; C17=0.113; C24=0.076,0.3775
Q5.2,Non-GR,C22,C22=0.212; C27=0.033; C17=0.026,0.2124
Q5.3,GR,C23;C24,C24=0.446; C23=0.445; C5=0.055,0.8906
Q5.3,Non-GR,C23;C24,C23=0.238; C24=0.228; C5=0.056,0.4664
Q5.4,GR,C25;C26;C27,C25=0.446; C26=0.440; C27=0.083,0.9702
Q5.4,Non-GR,C25;C26;C27,C25=0.287; C26=0.243; C27=0.186,0.7164
