question,SI_GR,SI_Non-GR,delta_SI,SI_wd_GR [secondary],SI_wd_Non-GR [secondary]
Q3.1,0.5062140362478501,0.551179676674365,-0.04496564042651485,0.25310701812392505,0.2755898383371825
Q3.2,0.9435277786541313,0.4777936318177728,0.4657341468363585,0.47176388932706564,0.2388968159088864
Q3.3,1.0,0.7661622365004249,0.23383776349957508,0.9635795999573668,0.5895581772933777
Q3.4,0.8384331925900366,0.7309090213482287,0.10752417124180791,0.5777437699360729,0.4911407720560103
Q3.5,0.9985085072696934,0.9824634708310891,0.016045036438604332,0.8998091358730673,0.8928707112856119
Q3.6,0.9934189395578105,0.7237728437495204,0.26964609580829,0.7197051632483171,0.5658517592180572
Q3.7,1.0,0.5747739510311897,0.42522604896881033,0.9835300354613368,0.44186223712282846
Q3.8,0.839654561247103,0.8145021351654204,0.025152426081682666,0.5800184033158715,0.6660589828709528
Q4.1,0.9626569047462807,0.7935337516433113,0.16912315310296944,0.635821623091129,0.5431999054448033
Q4.2,0.9714071627287129,0.7410577024034702,0.23034946032524262,0.8384328387232267,0.5031475320433962
Q4.3,0.9958955166412543,0.778593043744733,0.21730247289652127,0.9370273683562045,0.5926989963992952
Q5.1,0.999057386205398,0.8503661999350799,0.14869118627031808,0.9810390786868288,0.7580803496862719
Q5.2,0.7550383674846108,0.42481983083166286,0.330218536652948,0.37751918374230536,0.21240991541583146
Q5.3,0.9938481533629373,0.7018563040973228,0.2919918492656145,0.8906476768114371,0.4663516938216005
Q5.4,1.0,0.8244773436760949,0.17552265632390507,0.9702100054498612,0.7163891779396463
